Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (4),0.0147264,11,13,0,299.7455
Capsule (7),0.0047964,9,9,1,299.7455
Capsule (1),9.31021,6,11,0,299.7455
Capsule,1.527387,10,6,1,299.7455
44


Capsule (2),0.3557319,5,9,0,299.8052
Capsule (6),0.8197004,12,9,1,299.8052
Capsule (5),0.4911654,19,14,1,299.8052
Capsule (3),1.745668,12,14,0,299.8052
Capsule (4),0.2174008,13,17,0,299.8052
Capsule (7),8.33607,10,8,1,299.8052
Capsule (1),0.0068527,15,19,0,299.8052
Capsule,3.060261,15,11,1,299.8052
45


Capsule (2),3.08194,11,11,1,299.7222
Capsule (6),8.163795,7,8,0,299.7222
Capsule (5),1.852335,14,10,1,299.7222
Capsule (3),10.95771,12,10,1,299.7222
Capsule (4),5.650512,15,14,1,299.7222
Capsule (7),0.2422209,9,8,1,299.7222
Capsule (1),2.034168,12,15,0,299.7222
Capsule,2.406629,9,13,0,299.7222
46


Capsule (2),0.0111108,18,12,1,299.8156
Capsule (6),0.0104148,17,12,1,299.8156
Capsule (5),0.0125914,13,10,1,299.8156
Capsule (3),1.836523,12,9,1,299.8156
Capsule (4),3.423667,9,14,0,299.8156
Capsule (7),0.1167963,5,9,0,299.8156
Capsule (1),0.6217791,11,11,1,299.8156
Capsule,2.244621,7,15,0,299.8156
47


Capsule (2),3.283015,8,16,0,299.7493
Capsule (6),2.99364,15,10,1,299.7493
Capsule (5),1.433971,10,8,1,299.7493
Capsule (3),0.6260262,18,15,1,299.7493
Capsule (4),2.648898,14,9,1,299.7493
Capsule (7),0.08538499,14,13,1,299.7493
Capsule (1),13.2767,11,11,1,299.7493
Capsule,0.07164161,4,12,0,299.7493
48


Capsule (2),10.46749,11,8,1,299.9073
Capsule (6),1.564048,13,9,1,299.9073
Capsule (5),0.0066631,7,16,0,299.9073
Capsule (3),3.786266,15,15,1,299.9073
Capsule (4),0.011532,12,11,1,299.9073
Capsule (7),2.140005,14,9,1,299.9073
Capsule (1),0.9652646,11,15,0,299.9073
Capsule,8.731397,11,11,1,299.9073
49


Capsule (2),1.407483,11,12,0,299.8265
Capsule (6),0.0065662,12,12,1,299.8265
Capsule (5),0.0094798,11,15,0,299.8265
Capsule (3),1.242216,7,10,0,299.8265
Capsule (4),0.0174043,11,15,0,299.8265
Capsule (7),2.449115,13,8,1,299.8265
Capsule (1),3.676895,13,9,1,299.8265
Capsule,0.0649597,13,10,1,299.8265
50


Capsule (2),0.1449051,11,12,0,299.8576
Capsule (6),0.0074526,7,13,0,299.8576
Capsule (5),2.63126,7,10,0,299.8576
Capsule (3),2.504455,12,8,1,299.8576
Capsule (4),0.2091368,14,16,0,299.8576
Capsule (7),2.489271,15,10,1,299.8576
Capsule (1),0.0100646,21,14,1,299.8576
Capsule,0.2175859,6,10,0,299.8576
51


Capsule (2),0.0101099,15,11,1,299.6713
Capsule (6),4.175232,14,10,1,299.6713
Capsule (5),0.0142532,10,10,1,299.6713
Capsule (3),0.018503,15,15,1,299.6713
Capsule (4),0.0111193,8,17,0,299.6713
Capsule (7),0.6340866,11,15,0,299.6713
Capsule (1),7.28926,10,8,1,299.6713
Capsule,1.163845,10,7,1,299.6713
52


Capsule (2),0.0137078,13,9,1,299.8353
Capsule (6),0.4228355,13,14,0,299.8353
Capsule (5),1.721889,12,11,1,299.8353
Capsule (3),2.890047,8,10,0,299.8353
Capsule (4),2.099406,21,10,2,299.8353
Capsule (7),4.441543,5,17,0,299.8353
Capsule (1),0.6361656,10,8,1,299.8353
Capsule,0.2879703,7,10,0,299.8353
53


Capsule (2),4.02157,15,13,1,299.8805
Capsule (6),1.636519,13,13,1,299.8805
Capsule (5),13.20057,12,10,1,299.8805
Capsule (3),0.1310679,6,10,0,299.8805
Capsule (4),3.111169,10,15,0,299.8805
Capsule (7),1.106203,15,16,0,299.8805
Capsule (1),0.0123571,15,12,1,299.8805
Capsule,3.070876,14,11,1,299.8805
54


Capsule (2),0.0109444,4,13,0,299.9009
Capsule (6),1.215224,10,15,0,299.9009
Capsule (5),3.121759,15,12,1,299.9009
Capsule (3),0.8956176,20,9,2,299.9009
Capsule (4),4.634776,15,11,1,299.9009
Capsule (7),0.0060824,8,11,0,299.9009
Capsule (1),4.058433,14,8,1,299.9009
Capsule,0.0116925,8,15,0,299.9009
55


Capsule (2),4.753496,12,13,0,299.7273
Capsule (6),8.42595,11,15,0,299.7273
Capsule (5),0.2301565,15,10,1,299.7273
Capsule (3),5.658984,8,11,0,299.7273
Capsule (4),21.55019,12,7,1,299.7273
Capsule (7),1.420894,14,14,1,299.7273
Capsule (1),1.227308,10,9,1,299.7273
Capsule,7.764687,8,11,0,299.7273
56


Capsule (2),0.0141544,14,13,1,299.7866
Capsule (6),6.146696,16,11,1,299.7866
Capsule (5),0.6395916,14,12,1,299.7866
Capsule (3),0.0142706,13,11,1,299.7866
Capsule (4),1.63053,10,13,0,299.7866
Capsule (7),0.8907771,11,14,0,299.7866
Capsule (1),0.0132176,5,9,0,299.7866
Capsule,1.737003,12,12,1,299.7866
57


Capsule (2),2.393429,18,13,1,299.9371
Capsule (6),0.0092802,10,13,0,299.9371
Capsule (5),2.15753,8,8,1,299.9371
Capsule (3),0.0157891,11,13,0,299.9371
Capsule (4),1.382131,13,13,1,299.9371
Capsule (7),1.782244,16,10,1,299.9371
Capsule (1),0.0061654,13,11,1,299.9371
Capsule,6.848827,6,14,0,299.9371
58


Capsule (2),3.785191,7,13,0,299.6552
Capsule (6),0.3049972,8,7,1,299.6552
Capsule (5),1.959899,11,11,1,299.6552
Capsule (3),2.059017,15,10,1,299.6552
Capsule (4),1.000351,18,7,2,299.6552
Capsule (7),0.0164528,6,9,0,299.6552
Capsule (1),3.071958,8,11,0,299.6552
Capsule,0.4197977,9,14,0,299.6552
59


Capsule (2),0.0132112,15,11,1,299.6646
Capsule (6),0.619159,15,12,1,299.6646
Capsule (5),7.742724,13,14,0,299.6646
Capsule (3),0.0063293,13,13,1,299.6646
Capsule (4),0.0186666,17,11,1,299.6646
Capsule (7),10.8048,14,15,0,299.6646
Capsule (1),0.265486,8,15,0,299.6646
Capsule,3.238612,10,14,0,299.6646
60


Capsule (2),9.053396,11,15,0,299.714
Capsule (6),4.486797,9,12,0,299.714
Capsule (5),0.3596163,13,10,1,299.714
Capsule (3),12.9633,12,11,1,299.714
Capsule (4),1.667761,8,12,0,299.714
Capsule (7),4.776598,11,10,1,299.714
Capsule (1),0.0167045,15,11,1,299.714
Capsule,0.006327,16,14,1,299.714
61


Capsule (2),1.689445,9,9,1,299.893
Capsule (6),1.695969,16,13,1,299.893
Capsule (5),0.0076697,11,14,0,299.893
Capsule (3),1.228141,8,12,0,299.893
Capsule (4),2.273931,15,11,1,299.893
Capsule (7),2.738303,14,9,1,299.893
Capsule (1),1.060895,10,10,1,299.893
Capsule,8.987103,9,14,0,299.893
62


Capsule (2),1.221453,9,8,1,299.7131
Capsule (6),0.0160634,13,16,0,299.7131
Capsule (5),0.0046387,14,14,1,299.7131
Capsule (3),1.34218,9,16,0,299.7131
Capsule (4),3.020414,11,14,0,299.7131
Capsule (7),0.0176272,14,13,1,299.7131
Capsule (1),2.260799,13,9,1,299.7131
Capsule,2.985348,17,10,1,299.7131
63


Capsule (2),0.0095054,16,13,1,299.8335
Capsule (6),0.0161779,13,12,1,299.8335
Capsule (5),0.0048492,15,9,1,299.8335
Capsule (3),2.915414,15,12,1,299.8335
Capsule (4),2.908332,9,12,0,299.8335
Capsule (7),4.03705,12,15,0,299.8335
Capsule (1),3.677436,10,15,0,299.8335
Capsule,2.171433,12,14,0,299.8335
64


Capsule (2),0.015672,12,13,0,299.7388
Capsule (6),2.194167,12,12,1,299.7388
Capsule (5),4.044022,9,13,0,299.7388
Capsule (3),0.0166603,16,9,1,299.7388
Capsule (4),9.869206,16,10,1,299.7388
Capsule (7),6.040892,10,12,0,299.7388
Capsule (1),12.2207,12,13,0,299.7388
Capsule,0.2150407,11,16,0,299.7388
65


Capsule (2),0.0060538,12,9,1,299.9229
Capsule (6),2.986061,13,9,1,299.9229
Capsule (5),3.719038,8,11,0,299.9229
Capsule (3),0.0070358,11,7,1,299.9229
Capsule (4),0.4337269,10,13,0,299.9229
Capsule (7),1.034419,7,6,1,299.9229
Capsule (1),0.012004,14,10,1,299.9229
Capsule,1.635444,2,12,0,299.9229
66


Capsule (2),2.119137,17,10,1,299.9178
Capsule (6),16.10221,17,10,1,299.9178
Capsule (5),1.184169,8,13,0,299.9178
Capsule (3),2.039473,7,14,0,299.9178
Capsule (4),0.0099175,8,12,0,299.9178
Capsule (7),6.114602,10,10,1,299.9178
Capsule (1),2.972394,9,10,0,299.9178
Capsule,0.0103939,12,9,1,299.9178
67


Capsule (2),5.709717,9,11,0,299.8004
Capsule (6),1.490386,20,12,1,299.8004
Capsule (5),0.6761112,12,12,1,299.8004
Capsule (3),0.0115116,9,15,0,299.8004
Capsule (4),2.988962,9,8,1,299.8004
Capsule (7),0.2291859,6,12,0,299.8004
Capsule (1),0.0045867,12,8,1,299.8004
Capsule,2.665327,11,10,1,299.8004
68


Capsule (2),0.0093042,14,10,1,299.9845
Capsule (6),5.717261,8,16,0,299.9845
Capsule (5),6.181683,13,12,1,299.9845
Capsule (3),0.4997303,13,12,1,299.9845
Capsule (4),1.840157,7,10,0,299.9845
Capsule (7),2.31695,13,10,1,299.9845
Capsule (1),0.0121026,12,12,1,299.9845
Capsule,1.000564,12,10,1,299.9845
69


Capsule (2),0.0080452,12,13,0,299.871
Capsule (6),12.92509,8,12,0,299.871
Capsule (5),0.0046602,15,14,1,299.871
Capsule (3),7.409382,11,14,0,299.871
Capsule (4),1.644067,15,11,1,299.871
Capsule (7),0.0101796,16,11,1,299.871
Capsule (1),0.0283719,12,11,1,299.871
Capsule,0.0066072,10,13,0,299.871
70


Capsule (2),3.670612,11,11,1,299.9038
Capsule (6),1.577031,11,11,1,299.9038
Capsule (5),1.162759,16,12,1,299.9038
Capsule (3),0.2088084,8,13,0,299.9038
Capsule (4),1.344312,12,11,1,299.9038
Capsule (7),0.6592498,5,10,0,299.9038
Capsule (1),3.467179,12,5,2,299.9038
Capsule,0.0079187,13,15,0,299.9038
71


Capsule (2),0.0596998,12,12,1,299.9739
Capsule (6),0.0145318,12,11,1,299.9739
Capsule (5),0.5223013,12,13,0,299.9739
Capsule (3),5.12711,13,10,1,299.9739
Capsule (4),3.002246,15,14,1,299.9739
