Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (5),0.4867801,24,18,1,181.9886,1
38


Capsule (2),0.0234155,14,17,0,192.8924,0
Capsule (6),1.286578,14,20,0,192.8924,0
Capsule,0.0579603,17,19,0,192.8924,0
Capsule (7),0.0154242,22,17,1,192.8924,0
Capsule (3),0.063092,23,15,1,192.8924,1
Capsule (4),1.038472,15,17,0,192.8924,1
Capsule (1),1.83545,21,18,1,192.8924,1
Capsule (5),0.0665113,16,19,0,192.8924,1
39


Capsule (2),6.816631,20,11,1,187.3359,0
Capsule (6),2.179575,17,16,1,187.3359,0
Capsule,0.0162464,15,23,0,187.3359,0
Capsule (7),3.316087,23,16,1,187.3359,0
Capsule (3),0.0035245,15,23,0,187.3359,1
Capsule (4),1.675804,24,13,1,187.3359,1
Capsule (1),0.1616512,11,15,0,187.3359,1
Capsule (5),0.2101117,10,18,0,187.3359,1
40


Capsule (2),0.0031758,15,17,0,184.2503,0
Capsule (6),2.130333,16,17,0,184.2503,0
Capsule,4.923352,13,15,0,184.2503,0
Capsule (7),0.1692059,17,20,0,184.2503,0
Capsule (3),0.0096503,12,19,0,184.2503,1
Capsule (4),0.2006865,16,19,0,184.2503,1
Capsule (1),1.221721,25,16,1,184.2503,1
Capsule (5),0.0046498,22,13,1,184.2503,1
41


Capsule (2),0.9200812,15,19,0,195.9452,0
Capsule (6),1.227002,25,17,1,195.9452,0
Capsule,3.248571,13,21,0,195.9452,0
Capsule (7),0.0203886,22,14,1,195.9452,0
Capsule (3),0.2027793,14,27,0,195.9452,1
Capsule (4),0.0046279,20,18,1,195.9452,1
Capsule (1),0.9136176,20,17,1,195.9452,1
Capsule (5),2.229277,19,15,1,195.9452,1
42


Capsule (2),0.7775002,18,17,1,198.9916,0
Capsule (6),0.0038978,14,18,0,198.9916,0
Capsule,0.0612945,22,15,1,198.9916,0
Capsule (7),0.0030896,21,16,1,198.9916,0
Capsule (3),0.6121386,18,19,0,198.9916,1
Capsule (4),0.0047622,11,18,0,198.9916,1
Capsule (1),0.2090024,17,25,0,198.9916,1
Capsule (5),0.527379,23,16,1,198.9916,1
43


Capsule (2),0.9808702,18,21,0,189.179,0
Capsule (6),0.1771111,19,17,1,189.179,0
Capsule,0.68511,15,11,1,189.179,0
Capsule (7),0.0037048,17,18,0,189.179,0
Capsule (3),0.0055086,16,25,0,189.179,1
Capsule (4),0.0037533,22,21,1,189.179,1
Capsule (1),0.0084798,22,17,1,189.179,1
Capsule (5),0.0034392,15,14,1,189.179,1
44


