Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (1),1.665607,23,12,1,173.1775,1
Capsule (6),0.1026846,22,22,1,173.1775,1
Capsule (7),0.0960265,17,13,1,173.1775,1
28


Capsule (7),1.029022,20,19,1,184.9393,0
Capsule (3),0.2012289,13,16,0,184.9393,0
Capsule (1),0.2472654,16,19,0,184.9393,0
Capsule (2),1.431728,15,18,0,184.9393,0
Capsule (5),0.009855,18,15,1,184.9393,1
Capsule (6),0.4368751,17,17,1,184.9393,1
Capsule,0.0094045,20,15,1,184.9393,1
Capsule (4),0.0083271,20,20,1,184.9393,1
29


Capsule (7),0.6765153,21,11,1,189.7809,0
Capsule (3),0.0163382,20,15,1,189.7809,0
Capsule (1),1.792564,15,16,0,189.7809,0
Capsule (2),0.013406,19,24,0,189.7809,0
Capsule (5),0.015664,20,19,1,189.7809,1
Capsule (6),2.553775,15,19,0,189.7809,1
Capsule,0.0031936,20,16,1,189.7809,1
Capsule (4),0.0094467,8,18,0,189.7809,1
30


Capsule (7),1.008748,15,14,1,182.3794,0
Capsule (3),3.009019,14,18,0,182.3794,0
Capsule (1),0.5007553,17,17,1,182.3794,0
Capsule (2),0.8158603,13,22,0,182.3794,0
Capsule (5),0.0051329,15,13,1,182.3794,1
Capsule (6),0.0032496,14,16,0,182.3794,1
Capsule,4.003938,24,14,1,182.3794,1
Capsule (4),0.0134974,22,20,1,182.3794,1
31


Capsule (7),5.827447,9,17,0,154.4901,0
Capsule (3),0.1810968,11,17,0,154.4901,0
Capsule (1),3.622717,14,18,0,154.4901,0
Capsule (2),1.179994,16,11,1,154.4901,0
Capsule (5),0.8952683,29,11,2,154.4901,1
Capsule (6),0.1342391,17,16,1,154.4901,1
Capsule,0.0066312,21,17,1,154.4901,1
Capsule (4),0.0030747,8,18,0,154.4901,1
32


Capsule (7),0.0053583,28,14,2,178.2963,0
Capsule (3),0.0154348,20,14,1,178.2963,0
Capsule (1),1.101725,12,27,0,178.2963,0
Capsule (2),2.996185,15,16,0,178.2963,0
Capsule (5),0.0029154,19,19,1,178.2963,1
Capsule (6),0.0050545,19,15,1,178.2963,1
Capsule,0.0031027,15,16,0,178.2963,1
Capsule (4),3.952428,14,21,0,178.2963,1
33


Capsule (7),0.0160298,25,12,2,169.9673,0
Capsule (3),0.0159568,16,16,1,169.9673,0
Capsule (1),2.112511,17,13,1,169.9673,0
Capsule (2),1.766121,17,15,1,169.9673,0
Capsule (5),2.388679,9,18,0,169.9673,1
Capsule (6),0.483918,14,14,1,169.9673,1
Capsule,0.5133923,8,17,0,169.9673,1
Capsule (4),0.1826567,16,17,0,169.9673,1
34


Capsule (7),0.0163434,16,16,1,175.9057,0
Capsule (3),0.0038354,11,22,0,175.9057,0
Capsule (1),0.019889,13,20,0,175.9057,0
Capsule (2),1.274968,20,22,0,175.9057,0
Capsule (5),3.782587,21,10,2,175.9057,1
Capsule (6),0.6139871,20,12,1,175.9057,1
Capsule,1.023142,21,14,1,175.9057,1
Capsule (4),0.0104792,13,19,0,175.9057,1
35


Capsule (7),0.414371,14,21,0,182.8707,0
Capsule (3),0.1774066,27,16,1,182.8707,0
Capsule (1),0.2159559,17,21,0,182.8707,0
Capsule (2),1.57789,15,18,0,182.8707,0
Capsule (5),7.413894,28,12,2,182.8707,1
Capsule (6),0.0097871,19,19,1,182.8707,1
Capsule,4.817921,13,19,0,182.8707,1
Capsule (4),0.0044327,15,22,0,182.8707,1
36


Capsule (7),0.018808,20,16,1,178.6802,0
Capsule (3),0.0182554,11,20,0,178.6802,0
Capsule (1),0.0231024,24,15,1,178.6802,0
Capsule (2),0.1264147,20,13,1,178.6802,0
Capsule (5),0.9939881,14,24,0,178.6802,1
Capsule (6),0.08966079,16,17,0,178.6802,1
Capsule,0.1691577,18,16,1,178.6802,1
Capsule (4),0.0031053,15,17,0,178.6802,1
37


Capsule (7),0.1588305,14,16,0,187.2562,0
Capsule (3),0.01766,14,13,1,187.2562,0
Capsule (1),2.09664,25,13,1,187.2562,0
Capsule (2),4.03609,22,9,2,187.2562,0
Capsule (5),0.641279,21,14,1,187.2562,1
Capsule (6),0.2106161,8,20,0,187.2562,1
Capsule,1.145306,12,21,0,187.2562,1
Capsule (4),0.00372,12,22,0,187.2562,1
38


Capsule (7),0.0037678,16,15,1,182.4213,0
Capsule (3),0.0035881,23,17,1,182.4213,0
Capsule (1),0.6087878,17,18,0,182.4213,0
Capsule (2),0.1457375,19,15,1,182.4213,0
Capsule (5),0.0113595,23,16,1,182.4213,1
Capsule (6),3.750472,21,18,1,182.4213,1
Capsule,0.2907878,17,22,0,182.4213,1
Capsule (4),0.2098629,11,26,0,182.4213,1
39


Capsule (7),1.010836,17,19,0,196.9839,0
Capsule (3),0.5785609,14,18,0,196.9839,0
Capsule (1),0.0040896,29,14,2,196.9839,0
Capsule (2),0.00301,15,18,0,196.9839,0
Capsule (5),1.320673,17,21,0,196.9839,1
Capsule (6),0.0031034,14,20,0,196.9839,1
Capsule,0.0097229,17,15,1,196.9839,1
Capsule (4),0.0082049,22,20,1,196.9839,1
40


Capsule (7),4.251513,19,14,1,193.2182,0
Capsule (3),2.317953,18,18,1,193.2182,0
Capsule (1),0.0190888,13,15,0,193.2182,0
Capsule (2),0.0094686,25,18,1,193.2182,0
Capsule (5),2.435791,12,14,0,193.2182,1
Capsule (6),1.331393,10,22,0,193.2182,1
Capsule,2.680989,17,24,0,193.2182,1
Capsule (4),0.8138171,28,17,1,193.2182,1
41


Capsule (7),0.0151478,11,24,0,176.545,0
Capsule (3),0.0038617,25,16,1,176.545,0
Capsule (1),1.953442,18,13,1,176.545,0
Capsule (2),3.751727,21,16,1,176.545,0
Capsule (5),1.223562,15,19,0,176.545,1
Capsule (6),0.8212736,19,16,1,176.545,1
Capsule,2.203621,10,11,0,176.545,1
Capsule (4),0.6178359,14,18,0,176.545,1
42


Capsule (7),0.255004,26,11,2,182.4646,0
Capsule (3),2.60604,11,19,0,182.4646,0
Capsule (1),0.0154997,23,16,1,182.4646,0
Capsule (2),0.0100446,15,20,0,182.4646,0
Capsule (5),0.1108255,17,16,1,182.4646,1
Capsule (6),2.232722,16,21,0,182.4646,1
Capsule,1.229442,15,20,0,182.4646,1
Capsule (4),0.8656141,15,15,1,182.4646,1
43


Capsule (7),0.0074075,16,18,0,162.3459,0
Capsule (3),0.0178412,26,14,1,162.3459,0
Capsule (1),0.0209774,15,18,0,162.3459,0
Capsule (2),0.368249,18,17,1,162.3459,0
Capsule (5),0.7179635,17,14,1,162.3459,1
Capsule (6),1.021418,14,12,1,162.3459,1
Capsule,0.6539768,17,16,1,162.3459,1
Capsule (4),0.0094796,7,21,0,162.3459,1
44


Capsule (7),0.2032371,8,27,0,176.3604,0
Capsule (3),0.0184062,19,16,1,176.3604,0
Capsule (1),0.018213,13,18,0,176.3604,0
Capsule (2),0.0153658,19,15,1,176.3604,0
Capsule (5),0.4984397,19,12,1,176.3604,1
Capsule (6),0.8183261,19,16,1,176.3604,1
