Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (3),0.6156381,32,25,1,299.9655
Capsule (1),1.824337,32,25,1,299.9655
Capsule (5),0.1793248,24,30,0,299.9655
40,,,,,
,,,,,
,,,,,
Capsule (6),3.108294,23,23,1,239.6536
Capsule (7),0.0474643,35,19,1,239.6536
Capsule,1.886551,22,31,0,239.6536
Capsule (4),1.498229,28,27,1,239.6536
Capsule (2),1.629922,32,19,1,239.6536
Capsule (3),0.7338954,12,29,0,239.6536
Capsule (1),1.326034,22,22,1,239.6536
Capsule (5),1.951785,22,26,0,239.6536
41,,,,,
,,,,,
,,,,,
Capsule (6),0.0177644,23,27,0,247.3672
Capsule (7),0.4245585,15,32,0,247.3672
Capsule,2.900417,23,29,0,247.3672
Capsule (4),0.0191032,33,22,1,247.3672
Capsule (2),4.844561,23,20,1,247.3672
Capsule (3),0.0045113,35,25,1,247.3672
Capsule (1),0.9434367,25,21,1,247.3672
Capsule (5),0.010769,23,24,0,247.3672
42,,,,,
,,,,,
,,,,,
Capsule (6),0.0064846,20,26,0,278.186
Capsule (7),1.41738,20,26,0,278.186
Capsule,1.299769,35,23,1,278.186
Capsule (4),1.494294,21,29,0,278.186
Capsule (2),0.7618325,34,24,1,278.186
Capsule (3),1.603556,32,29,1,278.186
Capsule (1),2.091236,30,30,1,278.186
Capsule (5),0.0081203,25,30,0,278.186
43,,,,,
,,,,,
,,,,,
Capsule (6),0.0181206,30,26,1,299.9671
Capsule (7),0.6978078,19,32,0,299.9671
Capsule,2.182907,32,20,1,299.9671
Capsule (4),0.2050282,26,35,0,299.9671
Capsule (2),3.733428,29,29,1,299.9671
Capsule (3),0.0092645,23,32,0,299.9671
Capsule (1),0.1761477,27,28,0,299.9671
Capsule (5),4.173186,33,17,1,299.9671
44,,,,,
,,,,,
,,,,,
Capsule (6),0.0121387,20,24,0,261.0379
Capsule (7),0.0042349,24,26,0,261.0379
Capsule,0.0656842,17,28,0,261.0379
Capsule (4),0.0088966,35,23,1,261.0379
Capsule (2),0.0070742,32,27,1,261.0379
Capsule (3),0.0338282,28,26,1,261.0379
Capsule (1),2.290516,27,24,1,261.0379
Capsule (5),1.386601,19,24,0,261.0379
45,,,,,
,,,,,
,,,,,
Capsule (6),0.2074935,16,31,0,259.2135
Capsule (7),0.01864,28,27,1,259.2135
Capsule,2.158242,35,21,1,259.2135
Capsule (4),0.1379552,27,25,1,259.2135
Capsule (2),1.024173,33,25,1,259.2135
Capsule (3),1.447911,27,25,1,259.2135
Capsule (1),1.943635,25,27,0,259.2135
Capsule (5),1.296523,21,31,0,259.2135
46,,,,,
,,,,,
,,,,,
Capsule (6),0.23627,25,32,0,278.6721
Capsule (7),0.0244935,26,22,1,278.6721
Capsule,0.4847788,25,30,0,278.6721
Capsule (4),0.2030524,17,30,0,278.6721
Capsule (2),0.6103734,25,22,1,278.6721
Capsule (3),0.2265799,31,22,1,278.6721
Capsule (1),3.866778,24,24,1,278.6721
Capsule (5),0.0065659,35,26,1,278.6721
47,,,,,
,,,,,
,,,,,
Capsule (6),2.256043,21,26,0,235.2549
Capsule (7),0.2027028,24,31,0,235.2549
Capsule,5.416334,26,24,1,235.2549
Capsule (4),1.360412,16,27,0,235.2549
Capsule (2),0.8587953,19,23,0,235.2549
Capsule (3),1.001913,26,20,1,235.2549
Capsule (1),0.0078972,24,26,0,235.2549
Capsule (5),0.0193897,35,14,2,235.2549
48,,,,,
,,,,,
,,,,,
Capsule (6),0.0977303,27,29,0,299.9583
Capsule (7),0.9448903,26,26,1,299.9583
Capsule,0.0095361,30,37,0,299.9583
Capsule (4),2.509787,28,25,1,299.9583
Capsule (2),0.6951869,27,30,0,299.9583
Capsule (3),0.0585651,30,31,0,299.9583
Capsule (1),0.0129745,31,17,1,299.9583
Capsule (5),3.348526,23,27,0,299.9583
49,,,,,
,,,,,
,,,,,
Capsule (6),0.7475356,16,24,0,232.9053
Capsule (7),0.0052363,18,28,0,232.9053
Capsule,0.0092143,15,23,0,232.9053
Capsule (4),1.946359,25,26,0,232.9053
Capsule (2),0.0270416,24,20,1,232.9053
Capsule (3),0.010008,23,26,0,232.9053
Capsule (1),1.670591,26,17,1,232.9053
Capsule (5),3.953108,35,18,1,232.9053
50,,,,,
,,,,,
,,,,,
Capsule (6),0.8850678,35,22,1,272.5688
Capsule (7),0.007218,27,28,0,272.5688
Capsule,0.2184139,27,34,0,272.5688
Capsule (4),0.0396599,26,26,1,272.5688
Capsule (2),1.945163,24,30,0,272.5688
Capsule (3),0.7610412,20,25,0,272.5688
Capsule (1),0.4376359,34,29,1,272.5688
Capsule (5),3.476475,27,26,1,272.5688
51,,,,,
,,,,,
,,,,,
Capsule (6),0.0084736,20,29,0,299.9216
Capsule (7),0.0039634,34,24,1,299.9216
Capsule,2.900231,24,30,0,299.9216
Capsule (4),0.00422,30,24,1,299.9216
Capsule (2),0.019689,34,22,1,299.9216
Capsule (3),2.032537,25,28,0,299.9216
Capsule (1),0.836472,25,42,0,299.9216
Capsule (5),2.375984,33,26,1,299.9216
52,,,,,
,,,,,
,,,,,
Capsule (6),2.578106,24,34,0,287.899
Capsule (7),0.0247402,30,26,1,287.899
Capsule,0.2244988,21,28,0,287.899
Capsule (4),1.508317,21,35,0,287.899
Capsule (2),1.289756,32,23,1,287.899
Capsule (3),0.2042417,35,22,1,287.899
Capsule (1),0.0048332,30,30,1,287.899
Capsule (5),0.0086452,26,21,1,287.899
53,,,,,
,,,,,
,,,,,
Capsule (6),0.0067822,27,30,0,277.7083
Capsule (7),0.1015432,29,25,1,277.7083
Capsule,2.645593,34,26,1,277.7083
Capsule (4),2.122251,22,33,0,277.7083
Capsule (2),1.237705,29,25,1,277.7083
Capsule (3),0.3938629,33,32,1,277.7083
Capsule (1),1.634834,25,31,0,277.7083
Capsule (5),0.0038376,35,32,1,277.7083
54,,,,,
,,,,,
,,,,,
Capsule (6),0.009331,28,31,0,299.976
Capsule (7),0.8559792,32,35,0,299.976
Capsule,0.0070609,32,27,1,299.976
Capsule (4),0.1431736,26,32,0,299.976
Capsule (2),0.0230254,31,27,1,299.976
Capsule (3),2.30513,29,26,1,299.976
Capsule (1),0.1810093,29,31,0,299.976
Capsule (5),1.260905,34,32,1,299.976
55,,,,,
,,,,,
,,,,,
Capsule (6),0.0050937,19,22,0,244.1695
